2023-08-15 20:27:24.934 [restartedMain] INFO  c.m.c.a.v.factory.AuthenticationValidatorFactory getAuthenticationValidator-32 : 认证地址：E:\801\DMP6.5.0.0\key
2023-08-15 20:27:24.936 [restartedMain] INFO  c.m.c.a.v.factory.AuthenticationValidatorFactory getAuthenticationValidator-39 : 认证模式：L 
2023-08-15 20:27:24.936 [restartedMain] INFO  c.m.c.a.validator.AuthenticationLocalValidator validate-25 : 本地认证开始......
2023-08-15 20:27:24.938 [restartedMain] INFO  c.m.authentication.module.common.auth.AuthValiator validate-46 : 证书校验开始......
2023-08-15 20:27:24.965 [restartedMain] INFO  c.m.authentication.module.common.auth.AuthValiator validate-49 : 校验IPMAC......
2023-08-15 20:27:24.982 [restartedMain] INFO  c.m.authentication.module.common.auth.AuthValiator isIpmacOk-113 : 当前产品为临时版，不限制IP和MAC地址
2023-08-15 20:27:24.983 [restartedMain] INFO  c.m.authentication.module.common.auth.AuthValiator validate-55 : 校验日期......
2023-08-15 20:27:25.110 [restartedMain] INFO  c.m.authentication.module.common.auth.AuthValiator isAppServerIpMacOk-189 : 当前产品为临时版，不限制应用服务器的IP和MAC地址
2023-08-15 20:27:25.111 [restartedMain] INFO  c.m.c.a.validator.AuthenticationLocalValidator validate-34 : 本地认证中......com.meritdata.authentication.module.common.model.ResultModel@31df8af8
2023-08-15 20:27:25.112 [restartedMain] INFO  c.m.c.a.validator.AuthenticationLocalValidator validate-38 : 本地认证完成......
2023-08-15 20:27:25.303 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls logTo-255 : The Class-Path manifest attribute in E:\801\revs_m2\xalan\xalan\2.7.0\xalan-2.7.0.jar referenced one or more files that do not exist: file:/E:/801/revs_m2/xalan/xalan/2.7.0/xercesImpl.jar,file:/E:/801/revs_m2/xalan/xalan/2.7.0/xml-apis.jar,file:/E:/801/revs_m2/xalan/xalan/2.7.0/serializer.jar
2023-08-15 20:27:25.303 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor logTo-255 : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-08-15 20:27:25.931 [restartedMain] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration initialize-109 : Located property source: [BootstrapPropertySource {name='bootstrapProperties-common-dam-datapacket.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-common-dam-metamanage.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-common-datapacket-datasource.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-common-dam-dataprocess.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-common-cloud-system-job.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-common-cloud-system-manage.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-common-cloud-system-cas.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-common-dam.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-common-cache.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-common-server.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-common.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-common,DEFAULT_GROUP'}]
